S.No.,State/UT,Total PHCs 2005,Govt Building 2005,Rented Building 2005,Rent Free Panchayat/Vol Society Building 2005,Total PHCs 2023,Govt Building 2023,Rented Building 2023,Rent Free Panchayat/Vol Society Building 2023
1,Andhra Pradesh,1570,1281,289,0,1145,1126,4,15
2,Arunachal Pradesh,85,0,0,0,127,120,0,7
3,Assam,610,610,0,0,920,909,5,6
4,Bihar,1648,0,0,0,1519,1081,0,438
5,Chhattisgarh,517,326,0,191,773,723,0,50
6,Goa,19,18,1,0,21,18,1,2
7,Gujarat,1070,663,0,407,1483,1326,8,149
8,Haryana,408,288,0,120,384,300,3,81
9,Himachal Pradesh,439,312,46,81,549,460,10,79
10,Jharkhand,561,0,0,0,308,241,8,59
11,Karnataka,1681,1439,92,150,2132,2065,13,54
12,Kerala,911,837,34,40,780,765,5,10
13,Madhya Pradesh,1192,746,446,0,1440,1346,22,72
14,Maharashtra,1780,1417,7,356,1906,1857,17,32
15,Manipur,72,0,0,0,74,69,0,5
16,Meghalaya,101,101,0,0,122,121,0,1
17,Mizoram,57,57,0,0,57,57,0,0
18,Nagaland,87,87,0,0,128,121,1,6
19,Odisha,1282,1282,0,0,1277,1255,0,22
20,Punjab,484,409,0,75,397,339,1,57
21,Rajasthan,1713,1446,0,267,2179,1969,34,176
22,Sikkim,24,24,0,0,24,24,0,0
23,Tamil Nadu,1380,1340,40,0,1419,1366,0,53
24,Telangana,0,0,0,0,594,593,0,1
25,Tripura,73,73,0,0,110,110,0,0
26,Uttarakhand,225,182,43,0,532,435,10,87
27,Uttar Pradesh,3660,1835,1825,0,3055,2983,0,72
28,West Bengal,1173,1173,0,0,910,905,0,5
29,A& N Islands,20,20,0,0,22,22,0,0
30,Chandigarh,0,0,0,0,0,0,0,0
31,D & N Haveli,6,6,0,0,12,12,0,0
32,Daman & Diu,3,3,0,0,,,
33,Delhi,8,8,0,0,5,5,0,0
34,Jammu & Kashmir,334,0,0,0,890,690,192,8
35,Ladakh,0,0,0,0,32,32,0,0
36,Lakshadweep,4,4,0,0,4,3,0,1
37,Puducherry,39,36,3,0,24,24,0,0
