S.No.,State/UT,Sub Centres Total March 2022,Sub Centres In Govt Buildings March 2022,Sub Centres Total March 2023,Sub Centres In Govt Buildings March 2023,PHCs Total March 2022,PHCs In Govt Buildings March 2022,PHCs Total March 2023,PHCs In Govt Buildings March 2023,CHCs Total March 2022,CHCs In Govt Buildings March 2022,CHCs Total March 2023,CHCs In Govt Buildings March 2023
1,Andhra Pradesh,11073,2908,11070,2908,1142,1126,1145,1126,139,139,138,138
2,Arunachal Pradesh,355,304,390,372,126,126,127,120,57,57,56,56
3,Assam,4667,3904,4692,3945,920,909,920,909,172,172,176,176
4,Bihar,9375,3370,9654,3370,1492,815,1519,1081,269,224,274,274
5,Chhattisgarh,5124,4397,5138,4432,770,723,773,723,167,167,166,165
6,Goa,219,60,202,56,24,21,21,18,6,6,1,1
7,Gujarat,9132,6304,9149,6333,1474,1303,1483,1326,344,317,350,330
8,Haryana,2653,1613,2521,1524,394,308,384,300,129,122,100,97
9,Himachal Pradesh,2114,1658,2102,1658,553,475,549,460,93,90,98,94
10,Jharkhand,3848,2436,3863,2446,291,234,308,241,171,171,188,188
11,Karnataka,8757,4470,8762,4535,2138,1988,2132,2065,182,179,182,182
12,Kerala,4933,3165,4930,3685,780,755,780,765,211,209,211,211
13,Madhya Pradesh,10287,8655,10258,8626,1266,1145,1440,1346,332,309,332,328
14,Maharashtra,10673,9708,10740,10248,1853,1809,1906,1857,256,252,261,261
15,Manipur,393,310,392,318,74,69,74,69,8,8,8,8
16,Meghalaya,459,448,463,452,122,121,122,121,28,28,28,28
17,Mizoram,300,288,308,308,57,57,57,57,9,9,9,9
18,Nagaland,434,372,443,381,129,123,128,121,23,23,8,8
19,Odisha,6688,5053,6598,4981,1288,1266,1277,1255,377,377,330,330
20,Punjab,2951,1728,2857,1674,422,361,397,339,150,150,84,84
21,Rajasthan,13523,10703,14042,10705,2133,1967,2179,1969,616,570,650,606
22,Sikkim,147,146,148,147,24,24,24,24,2,2,2,2
23,Tamil Nadu,8713,6312,8713,6249,1422,1358,1419,1366,385,385,385,385
24,Telangana,4229,1939,4228,1942,578,577,594,593,28,28,29,29
25,Tripura,956,827,956,821,108,108,110,110,21,21,18,18
26,Uttarakhand,1785,1356,1779,1374,531,434,532,435,52,50,49,47
27,Uttar Pradesh,20781,17127,25723,20331,2919,2847,3055,2983,829,824,939,939
28,West Bengal,10357,8346,12506,8399,915,912,910,905,348,347,347,347
29,A& N Islands,124,124,124,124,22,22,22,22,4,4,4,4
30,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
31,D & N Haveli and Daman & Diu,94,76,94,76,12,11,12,12,3,3,3,3
32,Delhi,12,1,8,1,5,5,5,5,0,0,0,0
33,Jammu & Kashmir,2429,750,2434,824,891,648,890,690,56,0,52,52
34,Ladakh,288,227,288,230,32,32,32,32,7,7,7,7
35,Lakshadweep,9,6,9,6,4,3,4,3,3,3,3,3
36,Puducherry,53,40,55,42,24,24,24,24,3,3,3,3
