S.No.,State/UT,Total Sub Centers 2005,Govt Building 2005,Rented Building 2005,Rent Free Panchayat/Vol Society Building 2005,Total Sub Centers 2023,Govt Building 2023,Rented Building 2023,Rent Free Panchayat/Vol Society Building 2023
1,Andhra Pradesh,12522,4221,8301,0,11070,2908,0,8162
2,Arunachal Pradesh,379,0,0,0,390,372,0,18
3,Assam,5109,2637,2472,0,4692,3945,633,114
4,Bihar,10337,0,0,0,9654,3370,3636,2648
5,Chhattisgarh,3818,1458,0,2360,5138,4432,39,667
6,Goa,172,40,132,0,202,56,121,25
7,Gujarat,7274,5554,0,1720,9149,6333,453,2363
8,Haryana,2433,1499,0,934,2521,1524,241,756
9,Himachal Pradesh,2068,1262,14,792,2102,1658,22,422
10,Jharkhand,4462,0,0,0,3863,2446,845,572
11,Karnataka,8143,4460,2893,790,8762,4535,2183,2044
12,Kerala,5094,2986,1098,1010,4930,3685,403,842
13,Madhya Pradesh,8874,3996,4878,0,10258,8626,667,965
14,Maharashtra,10453,6527,1098,2828,10740,10248,291,201
15,Manipur,420,216,131,73,392,318,15,59
16,Meghalaya,401,391,10,0,463,452,3,8
17,Mizoram,366,366,0,0,308,308,0,0
18,Nagaland,394,0,0,0,443,381,0,62
19,Odisha,5927,2542,3385,0,6598,4981,1215,402
20,Punjab,2858,1443,0,1415,2857,1674,2,1181
21,Rajasthan,10512,8211,0,2301,14042,10705,839,2498
22,Sikkim,147,108,31,8,148,147,1,0
23,Tamil Nadu,8682,6510,2172,0,8713,6249,1767,697
24,Telangana,0,0,0,0,4228,1942,1813,473
25,Tripura,539,278,202,59,956,821,18,117
26,Uttarakhand,1576,562,1014,0,1779,1374,380,25
27,Uttar Pradesh,20521,6494,14027,0,25723,20331,5000,392
28,West Bengal,10356,1923,8433,0,12506,8399,2588,1519
29,A& N Islands,107,107,0,0,124,124,0,0
30,Chandigarh,13,8,0,5,0,0,0,0
31,D & N Haveli,38,38,0,0,94,76,5,13
32,Daman & Diu,21,20,1,0,,,
33,Delhi,41,0,0,0,8,1,4,3
34,Jammu & Kashmir,1879,0,0,0,2434,824,1580,30
35,Ladakh,0,0,0,0,288,230,58,0
36,Lakshadweep,14,8,6,0,9,6,0,3
37,Puducherry,76,36,40,0,55,42,13,0
