S.No.,State/UT,Estimated mid-year Population for Rural areas,Estimated mid-year Population for Tribal areas,Sub Centres R,Sub Centres P,Sub Centres S,Sub Centres % Shortfall,PHCs R,PHCs P,PHCs S,PHCs % Shortfall,CHCs R,CHCs P,CHCs S,CHCs % Shortfall
1,Andhra Pradesh,33700000,2222127,7036,11070,0,0,1160,1145,15,1,290,138,152,52
2,Arunachal Pradesh,1162000,860688,347,390,0,0,53,127,0,0,13,56,0,0
3,Assam,30235000,4134121,6598,4692,1906,29,1076,920,156,14,269,176,93,35
4,Bihar,111694000,1537191,22543,9654,12889,57,3748,1519,2229,59,937,274,663,71
5,Chhattisgarh,22046000,8130189,5493,5138,355,6,870,773,97,11,217,166,51,24
6,Goa,376000,59725,83,202,0,0,13,21,0,0,3,1,2,67
7,Gujarat,36690000,8483209,8469,9149,0,0,1364,1483,0,0,341,350,0,0
8,Haryana,17504000,0,3500,2521,979,28,583,384,199,34,145,100,45,31
9,Himachal Pradesh,6708000,406639,1395,2102,0,0,230,549,0,0,57,98,0,0
10,Jharkhand,29235000,9180790,7071,3863,3208,45,1127,308,819,73,281,188,93,33
11,Karnataka,37600000,3441752,7978,8762,0,0,1310,2132,0,0,327,182,145,44
12,Kerala,8592000,212987,1746,4930,0,0,289,780,0,0,72,211,0,0
13,Madhya Pradesh,61689000,16757412,14572,10258,4314,30,2335,1440,895,38,583,332,251,43
14,Maharashtra,65103000,9525017,14290,10740,3550,25,2328,1906,422,18,582,261,321,55
15,Manipur,2180000,853097,549,392,157,29,86,74,12,14,21,8,13,62
16,Meghalaya,2662000,2398714,852,463,389,46,128,122,6,5,32,28,4,13
17,Mizoram,557000,537953,183,308,0,0,27,57,0,0,6,9,0,0
18,Nagaland,1201000,1115078,388,443,0,0,58,128,0,0,14,8,6,43
19,Odisha,37613000,9674643,8812,6598,2214,25,1415,1277,138,10,353,330,23,7
20,Punjab,17878000,0,3575,2857,718,20,595,397,198,33,148,84,64,43
21,Rajasthan,59636000,10066399,13269,14042,0,0,2155,2179,0,0,538,650,0,0
22,Sikkim,347000,126914,86,148,0,0,13,24,0,0,3,2,1,33
23,Tamil Nadu,35521000,629978,7188,8713,0,0,1194,1419,0,0,298,385,0,0
24,Telangana,19892000,2708468,4339,4228,111,3,708,594,114,16,177,29,148,84
25,Tripura,2510000,1034149,639,956,0,0,100,110,0,0,25,18,7,28
26,Uttarakhand,7467000,281003,1530,1779,0,0,253,532,0,0,63,49,14,22
27,Uttar Pradesh,179552000,1191959,36069,25723,10346,29,6004,3055,2949,49,1501,939,562,37
28,West Bengal,62596000,4887352,13170,12506,664,5,2167,910,1257,58,541,347,194,36
29,A & N Islands,224000,25240,48,124,0,0,7,22,0,0,1,4,0,0
30,Chandigarh,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
31,D & N Haveli and Daman & Diu,237000,154311,67,94,0,0,10,12,0,0,2,3,0,0
32,Delhi,87000,0,17,8,9,53,2,5,0,0,0,0,0,0
33,Jammu & Kashmir,9460000,1296020,2064,2434,0,0,336,890,0,0,84,52,32,38
34,Ladakh,207000,207000,69,288,0,0,10,32,0,0,2,7,0,0
35,Lakshadweep,1000,952,0,9,0,0,0,4,0,0,0,3,0,0
36,Puducherry,493000,0,98,55,43,44,16,24,0,0,4,3,1,25
