S. No.,State/UT,Population 2011 Census Rural,Population 2011 Census Urban,Population 2011 Census Total,Population 2011 Census Rural %,Estimated Population 2023 Rural,Estimated Population 2023 Urban,Estimated Population 2023 Total,Estimated Population 2023 Rural %
1,Andhra Pradesh,34776389,14610410,49386799,70.4,33700000,19517000,53217000,63.3
2,Arunachal Pradesh,1066358,317369,1383727,77.1,1162000,403000,1565000,74.2
3,Assam,26807034,4398542,31205576,85.9,30235000,5589000,35824000,84.4
4,Bihar,92341436,11758016,104099452,88.7,111694000,15674000,127368000,87.7
5,Chhattisgarh,19607961,5937237,25545198,76.8,22046000,8248000,30294000,72.8
6,Goa,551731,906814,1458545,37.8,376000,1201000,1577000,23.8
7,Gujarat,34694609,25745083,60439692,57.4,36690000,35104000,71794000,51.1
8,Haryana,16509359,8842103,25351462,65.1,17504000,12827000,30331000,57.7
9,Himachal Pradesh,6176050,688552,6864602,90.0,6708000,772000,7480000,89.7
10,Jharkhand,25055073,7933061,32988134,76.0,29235000,10397000,39632000,73.8
11,Karnataka,37469335,23625962,61095297,61.3,37600000,30233000,67833000,55.4
12,Kerala,17471135,15934926,33406061,52.3,8592000,27232000,35824000,24.0
13,Madhya Pradesh,52557404,20069405,72626809,72.4,61689000,25234000,86923000,71.0
14,Maharashtra,61556074,50818259,112374333,54.8,65103000,61607000,126710000,51.4
15,Manipur,2021640,834154,2855794,70.8,2180000,1051000,3231000,67.5
16,Meghalaya,2371439,595450,2966889,79.9,2662000,694000,3356000,79.3
17,Mizoram,525435,571771,1097206,47.9,557000,684000,1241000,44.9
18,Nagaland,1407536,570966,1978502,71.1,1201000,1037000,2238000,53.7
19,Odisha,34970562,7003656,41974218,83.3,37613000,8760000,46373000,81.1
20,Punjab,17344192,10399146,27743338,62.5,17878000,12918000,30796000,58.1
21,Rajasthan,51500352,17048085,68548437,75.1,59636000,21680000,81316000,73.3
22,Sikkim,456999,153578,610577,74.8,347000,344000,691000,50.2
23,Tamil Nadu,37229590,34917440,72147030,51.6,35521000,41415000,76936000,46.2
24,Telangana,21585313,13608665,35193978,61.3,19892000,18243000,38135000,52.2
25,Tripura,2712464,961453,3673917,73.8,2510000,1646000,4156000,60.4
26,Uttarakhand,7036954,3049338,10086292,69.8,7467000,4209000,11676000,64.0
27,Uttar Pradesh,155317278,44495063,199812341,77.7,179552000,56932000,236484000,75.9
28,West Bengal,62183113,29093002,91276115,68.1,62596000,36647000,99243000,63.1
29,Andaman & Nicobar Islands,237093,143488,380581,62.3,224000,179000,403000,55.6
30,Chandigarh,28991,1026459,1055450,2.7,1000,1234000,1235000,0.1
31,Dadra & Nagar Haveli and Daman & Diu,243510,343446,586956,41.5,237000,1056000,1293000,18.3
32,Delhi,419042,16368899,16787941,2.5,87000,21403000,21490000,0.4
33,Jammu & Kashmir,9108060,3433242,12541302,72.6,9460000,4176000,13636000,69.4
34,Ladakh,0,0,0,0,207000,94000,301000,68.8
35,Lakshadweep,14141,50332,64473,21.9,1000,68000,69000,1.4
36,Puducherry,395200,852753,1247953,31.7,493000,1165000,1658000,29.7
