S. No.,State/UT,Population Density Rural,Population Density Urban,Population Density Total
1,Andhra Pradesh,212,4738,327
2,Arunachal Pradesh,0,0,19
3,Assam,392,4436,457
4,Bihar,1216,6742,1353
5,Chhattisgarh,167,2439,224
6,Goa,130,1503,426
7,Gujarat,194,4742,366
8,Haryana,414,6491,686
9,Himachal Pradesh,121,2851,134
10,Jharkhand,377,4623,497
11,Karnataka,202,5033,354
12,Kerala,275,3584,922
13,Madhya Pradesh,205,3258,282
14,Maharashtra,218,6782,412
15,Manipur,98,5855,145
16,Meghalaya,120,2453,150
17,Mizoram,27,1165,59
18,Nagaland,74,4259,135
19,Odisha,247,2614,298
20,Punjab,374,5137,611
21,Rajasthan,178,3269,238
22,Sikkim,49,8993,97
23,Tamil Nadu,305,3038,592
24,Telangana,210,4884,386
25,Tripura,249,4200,396
26,Uttarakhand,142,4667,218
27,Uttar Pradesh,769,7528,982
28,West Bengal,748,7158,1118
29,Andaman & Nicobar Islands,27,4720,49
30,Chandigarh,0,10825,10833
31,D & N Haveli and Daman & Diu,472,10526,2148
32,Delhi,267,18506,14491
33,Jammu & Kashmir,58,3352,84
34,Ladakh,3,0,5
35,Lakshadweep,124,3098,2300
36,Puducherry,1470,7538,3384
