S. No.,State/UT,Total Number of PHCs functioning,Govt. Buildings,Rented Buildings,Rent Free Panchayat / Vol. Society Buildings,Buildings required to be constructed
1,Andhra Pradesh,1145,1126,4,15,19
2,Arunachal Pradesh,127,120,0,7,7
3,Assam,920,909,5,6,11
4,Bihar,1519,1081,0,438,438
5,Chhattisgarh,773,723,0,50,50
6,Goa,21,18,1,2,3
7,Gujarat,1483,1326,8,149,157
8,Haryana,384,300,3,81,84
9,Himachal Pradesh,549,460,10,79,89
10,Jharkhand,308,241,8,59,67
11,Karnataka,2132,2065,13,54,67
12,Kerala,780,765,5,10,15
13,Madhya Pradesh,1440,1346,22,72,94
14,Maharashtra,1906,1857,17,32,49
15,Manipur,74,69,0,5,5
16,Meghalaya,122,121,0,1,1
17,Mizoram,57,57,0,0,0
18,Nagaland,128,121,1,6,7
19,Odisha,1277,1255,0,22,22
20,Punjab,397,339,1,57,58
21,Rajasthan,2179,1969,34,176,210
22,Sikkim,24,24,0,0,0
23,Tamil Nadu,1419,1366,0,53,53
24,Telangana,594,593,0,1,1
25,Tripura,110,110,0,0,0
26,Uttarakhand,532,435,10,87,97
27,Uttar Pradesh,3055,2983,0,72,72
28,West Bengal,910,905,0,5,5
29,Andaman & Nicobar Islands,22,22,0,0,0
30,Chandigarh,0,0,0,0,0
31,Dadra & Nagar Haveli and Daman & Diu,12,12,0,0,0
32,Delhi,5,5,0,0,0
33,Jammu & Kashmir,890,690,192,8,200
34,Ladakh,32,32,0,0,0
35,Lakshadweep,4,3,0,1,1
36,Puducherry,24,24,0,0,0
